AccountId,AccountNumber,AccountType,AccountHolderFullName,IdType,IdValue,AccountHolderEmailAddress,AccountHolderMobileNumber,ProductType,ShariaCompliance,ProviderType
4E471AB0-929,36906809895,E-Wallet (Individual),Abdul bin Ibrahim,NRIC,771111-58-6300,3guqxmhl@outlook.com,60733641867,Conventional,False,CIMB
7721F0D9-77A,88357543051,Savings,Hafiz bin Ali,NRIC,860702-09-5506,k8wx6wf3@yahoo.com,60239926554,Conventional,False,CIMB
FD251B08-EE7,21071197916,E-Wallet (Individual),Hui Lee,NRIC,810202-35-3015,onoamu4p@gmail.com,60133259847,Conventional,False,CIMB
76C7F086-5AE,18663068706,Savings,Xiu Ying Ho,NRIC,770101-48-5114,g743m4g1@yahoo.com,60923057225,Conventional,False,HSBC Bank
21A1DA59-E55,18601230388,Savings,Lakshmi Raman,NRIC,640526-09-4794,maa1aeqt@outlook.com,60242726341,Conventional,False,HSBC Bank
F1C8E05C-D86,81519289683,Savings,Xiu Ying Chong,NRIC,640602-22-5888,d2hszro3@yahoo.com,60162360500,Conventional,False,CIMB
25AB70CB-CDB,29722704062,Savings,Kai Wong,NRIC,880821-30-8484,lafcb1ic@hotmail.com,60801591544,Conventional,False,Touch n Go
9FB95627-6BD,39816873579,E-Wallet (Individual),Chee Keong Ho,NRIC,981017-48-4998,pgrtk0j6@yahoo.com,60103932860,Conventional,False,CIMB
9A14BFFF-FA4,51964071463,E-Wallet (Individual),Noraini binti Ibrahim,NRIC,940911-59-3204,e0jfih0u@outlook.com,60517162975,Conventional,False,Touch n Go
8E56939D-1DE,98010818641,Savings,Anita Gopal,NRIC,611103-44-1824,dwg3w3y9@outlook.com,60629028563,Conventional,False,HSBC Bank
9576874E-50D,39227054950,E-Wallet (Individual),Suresh Gopal,NRIC,771114-82-8259,ip0kzb40@outlook.com,60539479776,Conventional,False,CIMB
253F225C-80D,33537910585,E-Wallet (Individual),Mohan Gopal,NRIC,940104-31-1767,sueluco2@outlook.com,60699781257,Conventional,False,Alliance Bank
561C09B0-625,70130203625,Savings,Aminah binti Yusof,NRIC,960422-46-6215,9nrurwm1@outlook.com,60974219189,Conventional,False,RHB Bank
8B3D696A-42B,57824093067,E-Wallet (Individual),Sarita Patel,NRIC,500627-23-4959,5zb6wspl@gmail.com,60390897096,Conventional,False,Alliance Bank
93A760AC-B4E,63519648231,Savings,Jing Lee,NRIC,921110-04-7684,fh7ugex8@outlook.com,60895037356,Conventional,False,Public Bank
5DDF6732-B36,67301976955,E-Wallet (Individual),Mei Ling Ho,NRIC,771018-54-9477,g4a776f6@gmail.com,60543303397,Conventional,False,Alliance Bank
61E68985-C14,31144266397,E-Wallet (Individual),Hakim bin Ali,NRIC,820507-57-1099,j962vwrn@hotmail.com,60287377594,Conventional,False,HSBC Bank
498643BE-D75,68853660347,Savings,Suresh Gopal,NRIC,890204-02-7400,2bthoynp@outlook.com,60767430117,Conventional,False,Touch n Go
1AB51EE3-6CA,56313458556,E-Wallet (Individual),Li Hua Tan,NRIC,880805-15-5008,gbm4etg5@gmail.com,60737353948,Conventional,False,Maybank
981E17FB-CF4,13045783642,E-Wallet (Individual),Ismail bin Said,NRIC,501028-36-1729,duxxro50@yahoo.com,60165930069,Conventional,False,CIMB
2CDE6D5F-043,15033038127,Savings,Abdul bin Abdullah,NRIC,590703-59-7476,92d4le4q@outlook.com,60353441761,Conventional,False,Maybank
2AEDCB40-629,37242129917,E-Wallet (Individual),Ah Hock Ho,NRIC,600827-15-3202,q3xkfv18@gmail.com,60149200425,Conventional,False,Touch n Go
31CAE1B9-4D1,96786535785,E-Wallet (Individual),Zaleha binti Hassan,NRIC,540628-45-1752,l2q777hc@gmail.com,60948699193,Conventional,False,Alliance Bank
BE4411DC-FA5,99750125390,E-Wallet (Individual),Muhammad bin Razali,NRIC,540615-59-2626,igjdn2bu@yahoo.com,60292264047,Conventional,False,CIMB
6EFC8E49-3E8,54458068817,Savings,Chee Keong Wong,NRIC,780313-48-5087,hsvcjic0@yahoo.com,60184223836,Conventional,False,RHB Bank
36F5EBB5-210,73380180245,Savings,Suresh Patel,NRIC,991007-04-2727,1dp8jfzl@gmail.com,60967124611,Conventional,False,Alliance Bank
EFDA2F54-A8B,81892897793,E-Wallet (Individual),Anand Krishnan,NRIC,881126-59-5841,lltj0jhk@yahoo.com,60260402748,Conventional,False,Public Bank
ECF23D0C-7A5,93313154962,E-Wallet (Individual),Ismail bin Yusof,NRIC,660304-33-2840,qym00mll@hotmail.com,60172945487,Conventional,False,Alliance Bank
EF9FBA31-2E6,63241723928,E-Wallet (Individual),Chee Keong Wong,NRIC,600617-29-6050,s8zbr37g@hotmail.com,60193789243,Conventional,False,CIMB
1C4E5EB0-E5A,36159658820,Savings,Kumar Raman,NRIC,720409-28-9323,cd3e6e1n@yahoo.com,60582881663,Conventional,False,HSBC Bank
9006C797-62E,57029983109,Savings,Halimah binti Razali,NRIC,550626-25-2083,43cmrit1@yahoo.com,60140544260,Conventional,False,CIMB
BF676AEC-DAE,98822939874,Savings,Halimah binti Yusof,NRIC,540822-15-4263,y0irturp@hotmail.com,60785800621,Conventional,False,HSBC Bank
801A1C9D-C82,16240554381,E-Wallet (Individual),Mei Fong Chen,NRIC,610405-58-7820,owp8pcli@hotmail.com,60695942812,Conventional,False,CIMB
