AccountId,AccountNumber,AccountType,AccountBalanceDateTime,PendingBalance,AvailableBalance,AccountCurrency
4E471AB0-929,36906809895,E-Wallet (Individual),2020-05-02T00:00:00+00:00,1854.27,9602.56,MYR
7721F0D9-77A,88357543051,Savings,2023-01-01T00:00:00+00:00,1991.22,2784.76,MYR
FD251B08-EE7,21071197916,E-Wallet (Individual),2022-09-26T00:00:00+00:00,8205.2,429.73,MYR
76C7F086-5AE,18663068706,Savings,2020-09-20T00:00:00+00:00,2146.17,2897.87,MYR
21A1DA59-E55,18601230388,Savings,2021-09-19T00:00:00+00:00,6798.22,407.02,MYR
F1C8E05C-D86,81519289683,Savings,2022-08-27T00:00:00+00:00,2387.64,3318.15,MYR
25AB70CB-CDB,29722704062,Savings,2020-09-12T00:00:00+00:00,4046.68,2523.3,MYR
9FB95627-6BD,39816873579,E-Wallet (Individual),2020-03-31T00:00:00+00:00,2593.57,5026.74,MYR
9A14BFFF-FA4,51964071463,E-Wallet (Individual),2023-05-08T00:00:00+00:00,1561.87,3991.62,MYR
8E56939D-1DE,98010818641,Savings,2022-05-08T00:00:00+00:00,1347.71,9003.19,MYR
9576874E-50D,39227054950,E-Wallet (Individual),2020-03-23T00:00:00+00:00,2183.98,862.21,MYR
253F225C-80D,33537910585,E-Wallet (Individual),2020-09-04T00:00:00+00:00,5523.93,1304.95,MYR
561C09B0-625,70130203625,Savings,2022-01-01T00:00:00+00:00,3775.41,8446.69,MYR
8B3D696A-42B,57824093067,E-Wallet (Individual),2023-08-03T00:00:00+00:00,1625.74,8093.4,MYR
93A760AC-B4E,63519648231,Savings,2020-07-07T00:00:00+00:00,9755.04,3819.42,MYR
5DDF6732-B36,67301976955,E-Wallet (Individual),2023-09-13T00:00:00+00:00,5598.48,7809.2,MYR
61E68985-C14,31144266397,E-Wallet (Individual),2022-06-14T00:00:00+00:00,1442.84,41.2,MYR
498643BE-D75,68853660347,Savings,2022-11-16T00:00:00+00:00,9574.54,460.33,MYR
1AB51EE3-6CA,56313458556,E-Wallet (Individual),2023-10-11T00:00:00+00:00,4282.98,5545.81,MYR
981E17FB-CF4,13045783642,E-Wallet (Individual),2020-08-07T00:00:00+00:00,5214.34,3611.65,MYR
2CDE6D5F-043,15033038127,Savings,2020-07-16T00:00:00+00:00,7824.37,8496.16,MYR
2AEDCB40-629,37242129917,E-Wallet (Individual),2022-12-05T00:00:00+00:00,9599.03,5462.56,MYR
31CAE1B9-4D1,96786535785,E-Wallet (Individual),2023-11-29T00:00:00+00:00,3109.54,430.68,MYR
BE4411DC-FA5,99750125390,E-Wallet (Individual),2020-03-05T00:00:00+00:00,9466.11,7697.94,MYR
6EFC8E49-3E8,54458068817,Savings,2023-01-24T00:00:00+00:00,4054.68,8349.16,MYR
36F5EBB5-210,73380180245,Savings,2020-06-19T00:00:00+00:00,1407.25,2127.9,MYR
EFDA2F54-A8B,81892897793,E-Wallet (Individual),2023-04-04T00:00:00+00:00,7990.54,5521.29,MYR
