AccountId,AccountNumber,AccountType,AccountHolderFullName,IdType,IdValue,AccountHolderEmailAddress,AccountHolderMobileNumber,ProductType,ShariaCompliance,ProviderType
C34FD37C-7D5,87863773658,E-Wallet (Individual),Kai Lim,NRIC,751114-6938,i6jvitec@hotmail.com,60571911895,Conventional,False,CIMB
7D0C59ED-FFD,41758065666,Savings,Chee Keong Wong,NRIC,700404-1210,n4g1pjtp@outlook.com,60210302708,Conventional,False,Public Bank
3EF5C2A1-2FC,87800240683,Savings,Nur binti Said,NRIC,760405-8657,5yxpcz6s@gmail.com,60812206910,Conventional,False,RHB Bank
5B678826-75C,88037356014,Savings,Srinivas Singh,NRIC,710125-4765,vpucj5zx@hotmail.com,60792111751,Conventional,False,Public Bank
DEEF3696-A4E,78415099464,Savings,Xiu Ying Wong,NRIC,950511-3605,pzskb65p@hotmail.com,60836221365,Conventional,False,Touch n Go
67E90A6C-6A1,82997206634,E-Wallet (Individual),Hui Ng,NRIC,620304-4845,qbee3hn5@outlook.com,60399036079,Conventional,False,HSBC Bank
0017EF95-47F,93146395879,Savings,Mei Ling Lee,NRIC,760623-2004,4qk9kgcd@yahoo.com,60805336035,Conventional,False,Touch n Go
A65D048A-17C,56323096864,E-Wallet (Individual),Maya Singh,NRIC,701113-5248,712g31ev@gmail.com,60755191501,Conventional,False,Maybank
E597F704-C95,24107602797,E-Wallet (Individual),Suresh Patel,NRIC,860611-9383,r9vl0uly@yahoo.com,60558516164,Conventional,False,Public Bank
BCA15C3E-10D,24655335115,E-Wallet (Individual),Aminah binti Abdullah,NRIC,690824-3438,0zxjigju@outlook.com,60529236225,Conventional,False,HSBC Bank
3AB2A4DC-C47,22116742322,E-Wallet (Individual),Hassan bin Abdullah,NRIC,580101-1766,3acejkgf@outlook.com,60846167405,Conventional,False,CIMB
FF9C02AC-415,32704555976,Savings,Wei Ng,NRIC,911224-4449,y6n58xvv@outlook.com,60520891323,Conventional,False,Public Bank
23C1268D-1B0,41264426399,E-Wallet (Individual),Mohan Raman,NRIC,980707-8960,uddjcq63@yahoo.com,60111111838,Conventional,False,CIMB
0B66F750-977,90984902203,E-Wallet (Individual),Ah Hock Ho,NRIC,900118-3748,9ovsi5ad@hotmail.com,60289025564,Conventional,False,Touch n Go
5C3306D3-916,22278927794,Savings,Ah Hock Ng,NRIC,880725-9872,zzljdbje@hotmail.com,60864491720,Conventional,False,HSBC Bank
4C8F2E86-629,51623187102,Savings,Xiu Ying Lim,NRIC,571217-1465,ugu375dj@gmail.com,60603027406,Conventional,False,Alliance Bank
269E35F2-949,93551942340,E-Wallet (Individual),Ahmad bin Razali,NRIC,531213-3438,h9fc9ir0@gmail.com,60126912296,Conventional,False,RHB Bank
90E16D9F-74C,56019455269,E-Wallet (Individual),Li Hua Ho,NRIC,800617-1667,i602y09f@outlook.com,60897789657,Conventional,False,HSBC Bank
A62E246B-675,14118325125,E-Wallet (Individual),Maya Gopal,NRIC,900326-4557,iz4yimoz@yahoo.com,60554351589,Conventional,False,Touch n Go
009672A0-848,90768511415,E-Wallet (Individual),Yan Chong,NRIC,681203-4136,xna9ybx3@hotmail.com,60816914190,Conventional,False,Alliance Bank
62AE00E4-F8E,97921666067,Savings,Li Hua Lim,NRIC,760518-1827,vu49lm19@gmail.com,60327924814,Conventional,False,RHB Bank
03179A62-706,72842562314,Savings,Ravi Patel,NRIC,840816-2630,hphji4ey@yahoo.com,60984750061,Conventional,False,Maybank
11C80DF3-71F,52996355645,Savings,Xiu Ying Chen,NRIC,650527-7799,9rewd13o@yahoo.com,60128036808,Conventional,False,HSBC Bank
F73AC433-BCD,22774954133,E-Wallet (Individual),Mei Ling Chong,NRIC,680523-7997,qb6h8hx6@yahoo.com,60117506940,Conventional,False,Maybank
8BB311DF-751,43252419422,Savings,Rosmah binti Yusof,NRIC,900821-2442,oh2pv5wf@gmail.com,60938739460,Conventional,False,Alliance Bank
69CE65CF-82F,75583476022,Savings,Siti binti Yusof,NRIC,680326-2178,lrnwqc0p@outlook.com,60268089754,Conventional,False,Alliance Bank
4134E732-B69,54558799252,Savings,Rajesh Singh,NRIC,970213-3271,dvi52hm0@gmail.com,60943855944,Conventional,False,Alliance Bank
26C0BA14-AC1,84892047305,E-Wallet (Individual),Nur binti Ibrahim,NRIC,501202-6276,acqmfyjf@yahoo.com,60993983697,Conventional,False,Public Bank
D1AF78E9-2FC,28080292621,E-Wallet (Individual),Prakash Nair,NRIC,630323-8665,mx5ei5xr@hotmail.com,60795705376,Conventional,False,Maybank
321EC60E-18F,64560283055,E-Wallet (Individual),Hui Lim,NRIC,650421-4000,bwlezhfx@hotmail.com,60816820481,Conventional,False,RHB Bank
64E4EE82-BFE,50899278160,Savings,Xiu Ying Tan,NRIC,990127-2802,b2jciwwj@gmail.com,60941955050,Conventional,False,Maybank
512B07EB-674,79358628315,E-Wallet (Individual),Ismail bin Hassan,NRIC,880214-1534,4ik0j0c6@hotmail.com,60283686057,Conventional,False,RHB Bank
692D5E9E-671,35247260945,E-Wallet (Individual),Anita Singh,NRIC,711209-9545,f0vxr703@outlook.com,60986557758,Conventional,False,Alliance Bank
FB9802D2-1F7,41734592917,E-Wallet (Individual),Fatimah binti Abdullah,NRIC,880109-7660,23cgl5op@outlook.com,60915167674,Conventional,False,Touch n Go
8A2BBC5F-713,84516044263,Savings,Hui Tan,NRIC,680223-7138,jmrnd2b2@gmail.com,60816719663,Conventional,False,Maybank
B4551233-71A,72693826435,E-Wallet (Individual),Xiu Ying Wong,NRIC,830128-9550,bqqhmiv8@gmail.com,60612858931,Conventional,False,CIMB
B66ED08E-9BD,50730673382,Savings,Wei Chen,NRIC,871021-9836,u3guae6c@yahoo.com,60997634290,Conventional,False,RHB Bank
E5B94401-FF7,28442650148,E-Wallet (Individual),Jing Chen,NRIC,520628-3038,1yova8vq@yahoo.com,60633533928,Conventional,False,CIMB
A5A75C2F-CEC,34644345308,Savings,Indira Krishnan,NRIC,980809-7306,oss8az5u@hotmail.com,60213626448,Conventional,False,RHB Bank
529F4FB7-CA3,21431600545,Savings,Muhammad bin Abdullah,NRIC,880714-7424,cae0v0lf@gmail.com,60452239974,Conventional,False,Public Bank
B416D038-2C9,41107095123,E-Wallet (Individual),Hassan bin Said,NRIC,880422-4799,wjlrqivi@gmail.com,60737742065,Conventional,False,Maybank
EB28EBEE-DF3,10352163131,E-Wallet (Individual),Zaleha binti Ahmad,NRIC,850625-9501,8t99r0kz@outlook.com,60720276749,Conventional,False,CIMB
C8499611-B3C,91424658914,E-Wallet (Individual),Ali bin Ismail,NRIC,851211-5864,qazu5i45@outlook.com,60492228032,Conventional,False,Public Bank
165920F4-5A6,57674464125,Savings,Rajesh Nair,NRIC,660114-2738,9dyjza6n@yahoo.com,60681229836,Conventional,False,HSBC Bank
E3D2E57F-FEE,23510336533,Savings,Srinivas Raman,NRIC,910426-2804,mir6cj3l@outlook.com,60329628981,Conventional,False,CIMB
526903B5-5B7,85360149985,E-Wallet (Individual),Rajesh Krishnan,NRIC,730118-7995,gl3m3nrb@gmail.com,60169176640,Conventional,False,CIMB
AA1E6568-998,93424230525,E-Wallet (Individual),Wei Ng,NRIC,711020-6359,975g27d2@yahoo.com,60315197144,Conventional,False,RHB Bank
C0DDF7F0-B53,75900681570,E-Wallet (Individual),Chee Keong Ho,NRIC,630102-4587,c9dly0nl@gmail.com,60185446764,Conventional,False,HSBC Bank
0D23F03E-C49,70514481589,Savings,Anand Patel,NRIC,841021-7938,xcpte6s1@outlook.com,60337164490,Conventional,False,CIMB
E447DF43-2B1,32287581143,E-Wallet (Individual),Priya Krishnan,NRIC,760127-4309,6mz73sy7@gmail.com,60360748533,Conventional,False,RHB Bank
B2C2F7AF-0ED,22992021017,E-Wallet (Individual),Mei Fong Chong,NRIC,880104-7349,vo907g2i@gmail.com,60552460119,Conventional,False,RHB Bank
EA726FF7-0D4,77240926714,E-Wallet (Individual),Suresh Gopal,NRIC,941122-8353,dinn0fp2@outlook.com,60517152220,Conventional,False,Public Bank
B44D42FA-33C,59125687591,Savings,Chee Keong Chen,NRIC,651016-4295,tuvr02s3@hotmail.com,60313710193,Conventional,False,RHB Bank
533F9A84-D4D,75398846851,E-Wallet (Individual),Boon Wong,NRIC,650717-9553,y3gjlhvw@outlook.com,60182162590,Conventional,False,Alliance Bank
B8735C06-F56,57616536457,Savings,Prakash Raman,NRIC,760122-3743,2b1qexc1@gmail.com,60615186975,Conventional,False,RHB Bank
3AA903B8-7B3,27985473891,E-Wallet (Individual),Sarita Singh,NRIC,951013-2845,htrhnfzg@hotmail.com,60892739700,Conventional,False,Public Bank
A047E327-D77,90802016353,E-Wallet (Individual),Mei Ling Ho,NRIC,641218-6851,35ecja77@hotmail.com,60825444848,Conventional,False,CIMB
AFCF2343-F35,30622332674,E-Wallet (Individual),Ismail bin Ibrahim,NRIC,620715-3986,a0x5hnik@outlook.com,60276041425,Conventional,False,Touch n Go
75308679-2D9,32273139460,Savings,Hui Ng,NRIC,620901-6846,9m3i14ug@gmail.com,60423774233,Conventional,False,RHB Bank
BE852069-73D,87086652337,Savings,Maya Nair,NRIC,680223-4910,y9tv8c79@hotmail.com,60162040869,Conventional,False,CIMB
B3FC836B-722,21927657549,E-Wallet (Individual),Zain bin Mahmood,NRIC,790819-9181,ilgg1gx8@gmail.com,60477807898,Conventional,False,HSBC Bank
10CB72EB-FA8,27116064663,E-Wallet (Individual),Rajesh Nair,NRIC,590510-8929,0iagctt1@gmail.com,60504349880,Conventional,False,HSBC Bank
DC1662AF-DB0,44411898054,Savings,Halimah binti Ali,NRIC,800324-4969,zd4jzyre@gmail.com,60677864612,Conventional,False,Maybank
01D5EE46-1E0,56866017484,Savings,Wei Tan,NRIC,630720-3017,1t3ayyfk@outlook.com,60191260252,Conventional,False,CIMB
1DE9C059-267,32420203310,Savings,Zaleha binti Said,NRIC,841113-2755,cyv6j023@gmail.com,60593778452,Conventional,False,HSBC Bank
944EC893-252,67143934865,Savings,Srinivas Gopal,NRIC,501111-7466,fdv9ovtc@hotmail.com,60313875147,Conventional,False,Maybank
A608E2CE-031,80297437703,Savings,Chee Keong Tan,NRIC,880628-4944,whtwbrkw@gmail.com,60424969239,Conventional,False,Touch n Go
846AE281-8E7,25494538373,E-Wallet (Individual),Suresh Krishnan,NRIC,620603-8674,6l1o4t3h@outlook.com,60388194805,Conventional,False,Touch n Go
FB4C3D91-265,72693991760,E-Wallet (Individual),Prakash Raman,NRIC,670912-8730,5gw0xvr2@outlook.com,60626107251,Conventional,False,HSBC Bank
E6618042-65A,37606734859,Savings,Suresh Raman,NRIC,900404-8971,bak0dedi@outlook.com,60460787881,Conventional,False,Public Bank
59CA61E1-B77,48240392458,E-Wallet (Individual),Rosmah binti Abdullah,NRIC,880722-8511,jy3d5vmg@gmail.com,60714203906,Conventional,False,Maybank
19C25A2B-3FF,87940916402,Savings,Maya Nair,NRIC,531208-8672,l71orylz@hotmail.com,60398960991,Conventional,False,Alliance Bank
6FAB1D25-249,86127946024,E-Wallet (Individual),Sarita Patel,NRIC,710228-9690,og9wyukr@gmail.com,60174284634,Conventional,False,Alliance Bank
147C01B9-A3B,23976830202,E-Wallet (Individual),Priya Nair,NRIC,660406-5323,htzoztz9@gmail.com,60232804353,Conventional,False,CIMB
