AccountId,AccountNumber,AccountType,AccountBalanceDateTime,PendingBalance,AvailableBalance,AccountCurrency
E1480415-467,77807673793,E-Wallet (Individual),2021-08-04T00:00:00+00:00,5655.42,6657.78,MYR
1FCBF675-CAA,57207500283,Savings,2021-11-29T00:00:00+00:00,1961.79,4982.75,MYR
8B8F53CF-D85,48860320266,Savings,2021-02-04T00:00:00+00:00,3343.54,8002.39,MYR
332BB69A-8E2,76208819569,E-Wallet (Individual),2020-09-27T00:00:00+00:00,2948.07,7814.7,MYR
0DBE60B0-38B,16789300898,Savings,2023-09-02T00:00:00+00:00,6961.47,3450.93,MYR
8E413D1D-23D,92853630940,E-Wallet (Individual),2021-04-27T00:00:00+00:00,9861.78,3517.0,MYR
2FC154B0-32D,41492558112,Savings,2022-03-15T00:00:00+00:00,3677.86,6530.84,MYR
4729C0CB-10A,52686250936,E-Wallet (Individual),2021-03-18T00:00:00+00:00,3330.75,6441.88,MYR
44A4F12E-EB1,44444011362,E-Wallet (Individual),2022-07-29T00:00:00+00:00,3521.88,675.56,MYR
D6EC8B8B-C95,55474295595,E-Wallet (Individual),2023-03-04T00:00:00+00:00,6807.95,5395.53,MYR
67E76843-F3B,92760995085,E-Wallet (Individual),2023-10-03T00:00:00+00:00,5118.83,5637.66,MYR
BF66FDB9-394,10928452443,Savings,2020-02-27T00:00:00+00:00,9350.76,7495.93,MYR
11DDD949-EEF,45737499976,E-Wallet (Individual),2020-05-17T00:00:00+00:00,6859.46,4761.88,MYR
3957F0E9-713,31924140520,Savings,2023-02-14T00:00:00+00:00,9571.5,8049.3,MYR
19425244-ECF,93825288939,E-Wallet (Individual),2021-06-12T00:00:00+00:00,3783.98,8475.95,MYR
277A9488-5BC,68418575861,E-Wallet (Individual),2022-03-25T00:00:00+00:00,517.01,1464.52,MYR
2B6E9560-356,92002767020,E-Wallet (Individual),2023-12-05T00:00:00+00:00,4277.65,9351.61,MYR
41BE8C10-E4F,58492991674,Savings,2023-07-16T00:00:00+00:00,1163.55,1764.26,MYR
598C8A30-52B,73339116313,E-Wallet (Individual),2021-05-28T00:00:00+00:00,9282.96,8317.34,MYR
9C3DD083-4DA,95504334474,E-Wallet (Individual),2022-05-05T00:00:00+00:00,6307.43,4466.72,MYR
A4F30EB0-879,72201745800,Savings,2022-02-14T00:00:00+00:00,324.03,9244.0,MYR
F8FC3F94-721,76785825547,E-Wallet (Individual),2022-09-23T00:00:00+00:00,3875.61,1522.35,MYR
D683FDDF-738,85687923237,Savings,2023-08-07T00:00:00+00:00,9392.44,2946.34,MYR
83A463CA-40C,75839072451,E-Wallet (Individual),2021-09-05T00:00:00+00:00,8964.77,3981.92,MYR
EEEA300D-33E,46848602562,Savings,2021-08-22T00:00:00+00:00,5785.41,5987.97,MYR
B58F0A75-E64,42060633228,Savings,2020-09-22T00:00:00+00:00,1945.52,2180.38,MYR
423B8336-026,21717219684,Savings,2023-01-26T00:00:00+00:00,1117.92,6650.82,MYR
F2CEA1BE-DC4,93808344305,E-Wallet (Individual),2020-09-08T00:00:00+00:00,6075.01,616.77,MYR
4A4D286F-F20,44360794078,Savings,2021-05-21T00:00:00+00:00,8827.93,6210.61,MYR
8DE12CD5-BBA,53365930477,Savings,2023-03-07T00:00:00+00:00,7232.49,9401.11,MYR
F46E8CC9-F85,60230200042,E-Wallet (Individual),2021-01-20T00:00:00+00:00,8592.83,8771.16,MYR
02B911C3-F37,70265867733,E-Wallet (Individual),2020-08-10T00:00:00+00:00,1368.46,224.05,MYR
A8EE0AF6-A35,43129480635,Savings,2020-04-28T00:00:00+00:00,8761.45,3162.94,MYR
C24E7434-670,24504391291,E-Wallet (Individual),2023-06-09T00:00:00+00:00,2541.3,8560.28,MYR
0F8CE887-3AA,71006798079,E-Wallet (Individual),2023-11-21T00:00:00+00:00,7955.03,3834.17,MYR
28C495CD-C2D,97167935254,Savings,2020-07-31T00:00:00+00:00,1558.36,9763.1,MYR
67CB5DE2-F5B,68759331718,E-Wallet (Individual),2020-03-05T00:00:00+00:00,2668.31,750.06,MYR
59612715-FF6,58639265750,Savings,2021-12-31T00:00:00+00:00,4721.95,1638.95,MYR
D96D090F-139,55389890188,Savings,2022-03-03T00:00:00+00:00,6572.91,1942.33,MYR
C2159D66-9D0,91978675779,E-Wallet (Individual),2021-09-20T00:00:00+00:00,6367.74,7459.25,MYR
63E3FCB2-DD2,45728327712,Savings,2022-05-30T00:00:00+00:00,4534.35,6434.76,MYR
32C3C4F7-932,76443309895,E-Wallet (Individual),2020-02-24T00:00:00+00:00,6077.49,678.07,MYR
5DD81F06-E40,29123589584,E-Wallet (Individual),2021-12-04T00:00:00+00:00,8968.76,7693.03,MYR
BAD14B1B-E91,41762158801,Savings,2021-03-26T00:00:00+00:00,4276.12,2180.14,MYR
6CCDACFA-E0C,73317822042,E-Wallet (Individual),2023-09-07T00:00:00+00:00,6521.33,4140.2,MYR
6F092BA2-959,34681652925,Savings,2020-03-05T00:00:00+00:00,3706.55,7911.45,MYR
C7DA73CA-190,37225917337,E-Wallet (Individual),2023-05-23T00:00:00+00:00,657.55,859.27,MYR
79B41877-A1A,72841026732,E-Wallet (Individual),2023-08-20T00:00:00+00:00,5217.77,5192.36,MYR
4DA69C42-DE6,63788647003,E-Wallet (Individual),2020-06-30T00:00:00+00:00,6584.6,1742.03,MYR
173ED352-299,61853727606,Savings,2023-07-05T00:00:00+00:00,2012.62,5509.94,MYR
BFDB78D2-FED,37835565920,Savings,2022-12-19T00:00:00+00:00,45.28,6545.0,MYR
DF4EA728-2F1,92244964256,E-Wallet (Individual),2020-08-22T00:00:00+00:00,1720.36,247.16,MYR
0F3E1AE4-075,58930236153,E-Wallet (Individual),2021-06-22T00:00:00+00:00,4044.93,528.25,MYR
6FF2A688-F23,34369796673,E-Wallet (Individual),2020-12-09T00:00:00+00:00,2997.62,3183.58,MYR
B307730C-110,98007470552,E-Wallet (Individual),2021-11-23T00:00:00+00:00,2112.76,325.95,MYR
A2395841-703,13073465487,Savings,2021-05-21T00:00:00+00:00,8522.61,5368.83,MYR
6EDB9FC4-862,54125669281,E-Wallet (Individual),2020-10-31T00:00:00+00:00,4871.89,9230.68,MYR
5110971C-2BD,51315863611,Savings,2020-08-03T00:00:00+00:00,7334.92,5387.98,MYR
AA9CCD52-BC4,50882967528,Savings,2022-04-02T00:00:00+00:00,5055.15,5949.48,MYR
AF1F6577-7A1,16423676681,Savings,2020-09-21T00:00:00+00:00,9872.59,3162.8,MYR
D3732CE2-A84,29703891608,Savings,2021-11-09T00:00:00+00:00,1619.0,8430.27,MYR
80F740C9-3CA,16283486330,Savings,2022-08-08T00:00:00+00:00,5626.81,4068.09,MYR
E77FABBB-0AF,49565256583,Savings,2022-08-20T00:00:00+00:00,3411.9,4241.84,MYR
D01AB09C-FBF,93716604492,E-Wallet (Individual),2022-06-23T00:00:00+00:00,9966.35,4895.63,MYR
8530B277-CE9,44627514298,E-Wallet (Individual),2022-03-29T00:00:00+00:00,881.44,5150.49,MYR
DD086CDB-0A9,17356317484,Savings,2023-02-27T00:00:00+00:00,2105.81,1096.36,MYR
C4C36F80-5C3,56617577504,Savings,2021-09-17T00:00:00+00:00,3145.88,6412.66,MYR
D0569024-8E5,27382910291,E-Wallet (Individual),2023-10-30T00:00:00+00:00,1069.84,8923.52,MYR
F50410E2-FF9,15650614780,E-Wallet (Individual),2020-05-28T00:00:00+00:00,526.15,8270.78,MYR
0E76A80D-6AB,97852858442,E-Wallet (Individual),2023-09-09T00:00:00+00:00,8870.14,1822.93,MYR
520017ED-F3C,73221571837,Savings,2020-04-11T00:00:00+00:00,9389.24,371.24,MYR
646F64E1-C37,85053369127,Savings,2021-09-14T00:00:00+00:00,6906.61,6826.26,MYR
519EE78D-849,16837111613,Savings,2020-01-12T00:00:00+00:00,573.59,5427.62,MYR
028F6123-3AE,82617206912,E-Wallet (Individual),2022-08-10T00:00:00+00:00,4241.15,8007.11,MYR
6334ACD5-080,23769674106,Savings,2022-04-20T00:00:00+00:00,9851.65,9440.99,MYR
5D877FC0-F16,52323358994,Savings,2020-01-14T00:00:00+00:00,2995.71,2106.18,MYR
FE573D27-1C4,97526243587,Savings,2021-06-08T00:00:00+00:00,8745.06,9667.56,MYR
E51805D6-C47,78116442251,Savings,2022-12-13T00:00:00+00:00,992.25,2176.32,MYR
6A069F6C-9E8,78624291927,Savings,2021-01-05T00:00:00+00:00,2236.67,4227.32,MYR
2E77BB1C-470,19815202491,E-Wallet (Individual),2021-06-20T00:00:00+00:00,9166.21,6765.53,MYR
887910C8-80F,58145443730,E-Wallet (Individual),2023-04-23T00:00:00+00:00,5901.03,2843.74,MYR
4412BCDB-D9A,70422299509,E-Wallet (Individual),2023-11-17T00:00:00+00:00,3507.52,3341.66,MYR
6A4995EC-332,43959273822,E-Wallet (Individual),2021-06-11T00:00:00+00:00,9100.7,370.58,MYR
7BE91BB0-5B2,33845851972,Savings,2021-10-21T00:00:00+00:00,2369.4,5734.19,MYR
8B902E38-878,49800585828,Savings,2022-07-27T00:00:00+00:00,753.83,8830.08,MYR
153F8891-947,32554679420,Savings,2023-01-23T00:00:00+00:00,2766.39,2899.93,MYR
DB4D5B39-633,97502355566,E-Wallet (Individual),2023-10-30T00:00:00+00:00,4438.43,7808.3,MYR
189A36F2-7FE,70007016434,Savings,2020-12-12T00:00:00+00:00,6917.03,1048.95,MYR
32A232D6-B34,74651691730,E-Wallet (Individual),2023-01-31T00:00:00+00:00,1575.04,1137.53,MYR
77A61B9B-122,97642585978,Savings,2022-08-26T00:00:00+00:00,8830.05,1633.87,MYR
BB00E20A-356,86018198364,Savings,2022-06-27T00:00:00+00:00,286.17,9221.19,MYR
A31F67D0-C8A,65873996047,Savings,2020-05-29T00:00:00+00:00,6946.34,9536.79,MYR
87B76658-E98,33609271843,Savings,2023-08-13T00:00:00+00:00,329.3,801.59,MYR
4843D6F1-B2D,80561593878,E-Wallet (Individual),2021-10-13T00:00:00+00:00,2160.84,3172.53,MYR
D7A5BBB7-3D5,76514788672,E-Wallet (Individual),2023-10-13T00:00:00+00:00,3919.82,5971.94,MYR
A026DA23-ADF,47905327301,E-Wallet (Individual),2022-06-22T00:00:00+00:00,9875.43,65.02,MYR
E6F19C93-35B,52330933212,E-Wallet (Individual),2021-12-26T00:00:00+00:00,9535.37,596.58,MYR
8BFAF85F-282,30861877380,Savings,2020-07-24T00:00:00+00:00,7525.35,6253.92,MYR
202BE739-060,69541875313,Savings,2021-08-21T00:00:00+00:00,5794.83,8228.63,MYR
3F7A87A8-610,25440303175,E-Wallet (Individual),2023-09-28T00:00:00+00:00,1762.9,8988.38,MYR
DF9AA9AF-D60,46404179016,E-Wallet (Individual),2022-05-18T00:00:00+00:00,9556.41,4080.39,MYR
D4E7DF59-87F,18551933249,Savings,2021-05-26T00:00:00+00:00,8736.11,2424.53,MYR
E83BE084-0E0,64259654942,Savings,2020-08-08T00:00:00+00:00,5035.12,8420.0,MYR
D27DC9CC-48A,51534092410,E-Wallet (Individual),2022-02-26T00:00:00+00:00,4043.68,3660.52,MYR
675FCFBB-014,46310726907,Savings,2020-11-10T00:00:00+00:00,7768.13,8345.78,MYR
C06A8D2A-5D0,98122266421,Savings,2022-11-13T00:00:00+00:00,9994.31,3420.84,MYR
1FD8EB37-8EE,75927551447,Savings,2021-02-08T00:00:00+00:00,4273.42,6872.77,MYR
649D4CB3-962,40810398747,E-Wallet (Individual),2020-06-15T00:00:00+00:00,7163.63,9589.59,MYR
C995E8F0-9AF,21172297384,Savings,2021-10-08T00:00:00+00:00,1062.82,6283.09,MYR
2D567490-51B,43715549101,Savings,2021-04-05T00:00:00+00:00,8369.41,7744.91,MYR
C9621A92-FFE,15394787683,Savings,2020-08-18T00:00:00+00:00,733.82,4942.05,MYR
82CC0FDC-567,24410706734,Savings,2020-11-18T00:00:00+00:00,1656.95,9179.54,MYR
E611327B-6A1,17301077787,E-Wallet (Individual),2023-12-22T00:00:00+00:00,1101.93,2670.03,MYR
9B08E97D-146,92614827092,Savings,2023-10-17T00:00:00+00:00,5436.37,720.05,MYR
3123996D-A17,49474274826,E-Wallet (Individual),2021-02-09T00:00:00+00:00,3161.86,6681.55,MYR
E15B3017-4B8,11733131680,E-Wallet (Individual),2022-11-04T00:00:00+00:00,2083.09,1181.04,MYR
A44B626F-50C,53790887066,E-Wallet (Individual),2023-04-06T00:00:00+00:00,2399.99,7212.77,MYR
01AEADBD-1F7,27020422338,E-Wallet (Individual),2020-08-09T00:00:00+00:00,5903.85,5050.12,MYR
39329947-9F7,13755534319,Savings,2022-11-26T00:00:00+00:00,4882.57,7765.64,MYR
4A5844AC-CA5,69778261192,E-Wallet (Individual),2021-10-12T00:00:00+00:00,3645.97,7091.0,MYR
D99A1513-7B3,70279191192,Savings,2021-03-27T00:00:00+00:00,9145.64,8284.18,MYR
A6D0DF95-5CC,14982030026,E-Wallet (Individual),2022-11-07T00:00:00+00:00,3401.28,9396.5,MYR
B440B346-107,17193801194,Savings,2020-12-07T00:00:00+00:00,3159.73,7762.92,MYR
5A31D4B0-D4C,26761879179,Savings,2021-10-07T00:00:00+00:00,2603.49,3353.61,MYR
AC27BF75-C07,93746411936,Savings,2023-11-05T00:00:00+00:00,6443.03,8021.27,MYR
FD6AC738-C98,85105181325,E-Wallet (Individual),2023-06-17T00:00:00+00:00,3877.48,3775.75,MYR
9A1BC93A-E09,80828305659,E-Wallet (Individual),2021-10-17T00:00:00+00:00,6183.72,5378.17,MYR
2A2CF453-DD4,25862428131,E-Wallet (Individual),2021-12-24T00:00:00+00:00,2442.75,3820.47,MYR
ED8C9033-241,15935483501,Savings,2020-11-10T00:00:00+00:00,2953.4,9664.25,MYR
E55F8E36-F0A,78294799474,Savings,2023-04-25T00:00:00+00:00,1223.06,970.39,MYR
7ADF0B1F-F96,35295863538,Savings,2020-10-02T00:00:00+00:00,7329.91,5763.72,MYR
4D4D2740-722,54165644399,E-Wallet (Individual),2021-12-21T00:00:00+00:00,1793.18,4532.26,MYR
07700AEC-770,87632327144,E-Wallet (Individual),2022-01-16T00:00:00+00:00,7382.16,8466.04,MYR
987B95E2-1AD,31014807795,E-Wallet (Individual),2023-06-07T00:00:00+00:00,2227.33,671.0,MYR
A67852B9-098,42074237518,E-Wallet (Individual),2022-08-06T00:00:00+00:00,4438.07,1376.05,MYR
8DB34EFE-93A,20226351060,Savings,2020-11-11T00:00:00+00:00,9882.39,1969.0,MYR
E07940B8-E3C,91902861884,E-Wallet (Individual),2020-11-04T00:00:00+00:00,1425.74,9151.16,MYR
8A05879D-62A,67129650040,E-Wallet (Individual),2020-10-25T00:00:00+00:00,1165.13,8260.53,MYR
D2F7E487-041,12029373638,E-Wallet (Individual),2021-07-03T00:00:00+00:00,3499.44,9988.64,MYR
B4670497-9DB,89091022023,E-Wallet (Individual),2022-09-25T00:00:00+00:00,286.11,4559.74,MYR
920486CF-069,96040535124,E-Wallet (Individual),2023-11-30T00:00:00+00:00,5664.74,2884.83,MYR
E837BBA4-87F,76615226609,Savings,2021-03-02T00:00:00+00:00,2785.69,4154.94,MYR
E44C194E-BB6,29685882760,Savings,2020-11-06T00:00:00+00:00,2765.24,4714.23,MYR
13F184F8-197,96520795036,E-Wallet (Individual),2023-08-28T00:00:00+00:00,7284.33,8149.3,MYR
847AA5BC-DA1,30605274731,E-Wallet (Individual),2021-12-08T00:00:00+00:00,2227.54,3844.08,MYR
FBB96429-2B5,87356237804,E-Wallet (Individual),2023-09-05T00:00:00+00:00,3344.83,467.39,MYR
1B738CC8-8CF,61511988468,E-Wallet (Individual),2021-12-11T00:00:00+00:00,5686.42,5855.35,MYR
7D2F864F-6E6,69787595590,E-Wallet (Individual),2021-08-16T00:00:00+00:00,6834.59,6814.05,MYR
859B6A07-3AD,55197262486,E-Wallet (Individual),2023-05-09T00:00:00+00:00,8361.16,5220.43,MYR
7FABE403-D74,98720682330,Savings,2020-10-25T00:00:00+00:00,7893.56,5220.01,MYR
19071284-27B,22422373851,Savings,2023-04-22T00:00:00+00:00,9226.56,6979.94,MYR
10522F39-A44,35692487797,Savings,2023-04-15T00:00:00+00:00,3123.45,3454.28,MYR
A2B87ED7-362,95973593882,Savings,2021-04-17T00:00:00+00:00,9354.74,7774.2,MYR
B8704518-EF3,49608669479,E-Wallet (Individual),2020-11-19T00:00:00+00:00,7377.57,820.65,MYR
0CD72D13-6EB,58589846694,Savings,2023-04-17T00:00:00+00:00,6159.36,4238.47,MYR
63DF5C23-762,90028397009,E-Wallet (Individual),2021-11-28T00:00:00+00:00,3040.89,2412.03,MYR
5C0820F0-D6C,19928968899,E-Wallet (Individual),2023-07-31T00:00:00+00:00,7442.5,7922.25,MYR
FC0EDA34-832,94522240153,Savings,2021-11-11T00:00:00+00:00,4718.99,6391.78,MYR
EEB98D89-FCD,63674785390,Savings,2020-06-06T00:00:00+00:00,8759.97,549.6,MYR
3A775315-395,62916762733,E-Wallet (Individual),2023-11-18T00:00:00+00:00,40.71,783.3,MYR
E7F947ED-1F9,83551769964,Savings,2020-11-29T00:00:00+00:00,5332.47,772.65,MYR
